sample,strategy,strategy_price_type,return_basis,round_trip_ticks,nobs,trade_count,trade_rate,avg_daily,avg_ann,avg_ann_pct,vol_ann,vol_ann_pct,sharpe,success_rate,max_drawdown,avg_trade_return,avg_trade_return_bp,t_stat_mean,p_value_mean,symbol
replication,timing_rONFH,paper_statistical,r_LH,0,2424,2424,1.0,7.154297308222653e-05,0.018028829216721,1.8028829216721085,0.0478712146865238,4.787121468652385,0.3766110664786693,0.4847359735973597,-0.1178121427011766,7.154297308222653e-05,0.7154297308222654,1.1680437628304317,0.2429040300586027,ES.v.0
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,2424,1805,0.7446369636963697,0.0001219865833676,0.0307406190086564,3.07406190086564,0.0417445732959699,4.174457329596997,0.73639796940083,0.3659240924092409,-0.0812896387703803,0.0001219865833676,1.219865833676841,2.2839080730208754,0.0224630907623508,ES.v.0
replication,timing_rROD,paper_statistical,r_LH,0,2424,2424,1.0,0.0001875883015862,0.0472722519997236,4.7272251999723665,0.047791967763017,4.779196776301703,0.9891254579457692,0.4962871287128713,-0.068383015583032,0.0001875883015862,1.87588301586205,3.067732004300481,0.0021807545258307,ES.v.0
replication,always_long,paper_statistical,r_LH,0,2424,2424,1.0,-1.6487206209350874e-05,-0.0041547759647564,-0.415477596475642,0.0478839747203352,4.7883974720335285,-0.0867675665819775,0.4995874587458745,-0.1783890962921551,-1.6487206209350874e-05,-0.1648720620935087,-0.2691060459525642,0.7878709901189476,ES.v.0
replication,timing_rONFH,paper_statistical,r_LH,1,2424,2424,1.0,-6.369151691612828e-05,-0.0160502622628643,-1.6050262262864328,0.0478786961493848,4.787869614938485,-0.3352276388811089,0.4657590759075907,-0.2832962576780868,-6.369151691612828e-05,-0.6369151691612828,-1.0396947609228815,0.2985854698166745,ES.v.0
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,1,2424,1805,0.7446369636963697,2.1574756154745393e-05,0.0054368385509958,0.5436838550995838,0.0417394139334721,4.173941393347219,0.1302567055603974,0.3514851485148514,-0.1440103136715818,2.1574756154745393e-05,0.2157475615474539,0.4039858252685719,0.68625879468699,ES.v.0
replication,timing_rROD,paper_statistical,r_LH,1,2424,2424,1.0,5.235381158785022e-05,0.0131931605201382,1.3193160520138256,0.047803486253732,4.7803486253732075,0.2759874133470391,0.4781353135313531,-0.1393830925015867,5.235381158785022e-05,0.5235381158785022,0.8559636332353272,0.3921025324782117,ES.v.0
replication,always_long,paper_statistical,r_LH,1,2424,2424,1.0,-0.0001517216962077,-0.0382338674443418,-3.8233867444341834,0.0478720433348871,4.78720433348871,-0.7986679652856726,0.4806105610561056,-0.36721315404618,-0.0001517216962077,-1.5172169620770566,-2.477035909079529,0.0133156148170745,ES.v.0
replication,timing_rONFH,paper_statistical,r_LH,2,2424,2424,1.0,-0.0001989260069144,-0.0501293537424497,-5.012935374244973,0.0478956691452248,4.789566914522483,-1.0466364629013143,0.4331683168316831,-0.4811640133218743,-0.0001989260069144,-1.9892600691448308,-3.246100025348103,0.0011859213937808,ES.v.0
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,2,2424,1805,0.7446369636963697,-7.883707105819335e-05,-0.0198669419066647,-1.9866941906664728,0.0417631792890031,4.176317928900313,-0.4757047294983116,0.3254950495049505,-0.312761756844003,-7.883707105819335e-05,-0.7883707105819335,-1.4753786908991728,0.1402406884068736,ES.v.0
