pipeline_version,spec,training_method,training_description,strict_replication_end,test_start,test_end,n_test,first_training_cutoff_date,last_training_cutoff_date,mspe_model,mspe_benchmark,r2_oos,r2_oos_x100,forecast_strategy_sharpe,forecast_strategy_return_basis,symbol
boundary_corrected_v1,eq7_rod,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1226,2020-05-01,2025-12-30,1.5393162737289793e-06,1.5176141596472186e-06,-0.0143001526071722,-1.4300152607172212,0.4135030711124111,r_LH_executable,GC.v.0
boundary_corrected_v1,eq7_rod,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1226,2020-05-01,2020-05-01,1.549371772326913e-06,1.5172627594743753e-06,-0.0211624602607798,-2.1162460260779836,0.2669841933986231,r_LH_executable,GC.v.0
boundary_corrected_v1,eq5_onfh,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1213,2020-05-01,2025-12-30,1.877126006886254e-05,1.8771048619507783e-05,-1.1264653299036809e-05,-0.0011264653299036,-0.4329460002744222,r_LH_executable,CL.v.0
boundary_corrected_v1,eq5_onfh,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1213,2020-05-01,2020-05-01,1.8877609417065543e-05,1.889442543931381e-05,0.000889999132404,0.0889999132404062,-0.6009329538265709,r_LH_executable,CL.v.0
boundary_corrected_v1,eq6_onfh_m_slh,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1213,2020-05-01,2025-12-30,2.2294193111879444e-05,1.8771048619507783e-05,-0.1876903397240279,-18.769033972402795,0.1189184613006782,r_LH_executable,CL.v.0
boundary_corrected_v1,eq6_onfh_m_slh,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1213,2020-05-01,2020-05-01,2.326080740708e-05,1.889442543931381e-05,-0.2310936620851684,-23.10936620851685,0.2107860376971533,r_LH_executable,CL.v.0
boundary_corrected_v1,eq7_rod,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1213,2020-05-01,2025-12-30,1.922541080956932e-05,1.8771048619507783e-05,-0.0242054772363298,-2.420547723632982,-0.3378887714621739,r_LH_executable,CL.v.0
boundary_corrected_v1,eq7_rod,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1213,2020-05-01,2020-05-01,1.9478318421693075e-05,1.889442543931381e-05,-0.0309029234180551,-3.0902923418055117,-0.2623600544295871,r_LH_executable,CL.v.0
boundary_corrected_v1,eq5_onfh,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1221,2020-05-01,2025-12-30,4.444151312037787e-07,4.514631325838425e-07,0.0156114660785837,1.561146607858377,1.8426727059716608,r_LH_executable,ZN.v.0
boundary_corrected_v1,eq5_onfh,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1221,2020-05-01,2020-05-01,4.449621646151375e-07,4.51309209689198e-07,0.0140636285229621,1.4063628522962168,1.7320021488602977,r_LH_executable,ZN.v.0
boundary_corrected_v1,eq6_onfh_m_slh,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1221,2020-05-01,2025-12-30,4.4883989908239475e-07,4.514631325838425e-07,0.0058105154377375,0.5810515437737584,1.2507167680211784,r_LH_executable,ZN.v.0
boundary_corrected_v1,eq6_onfh_m_slh,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1221,2020-05-01,2020-05-01,4.525839581829626e-07,4.51309209689198e-07,-0.0028245567925424,-0.2824556792542454,0.6388245342007796,r_LH_executable,ZN.v.0
boundary_corrected_v1,eq7_rod,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1221,2020-05-01,2025-12-30,4.412088493322185e-07,4.514631325838425e-07,0.0227134454876437,2.2713445487643757,2.0284981934196633,r_LH_executable,ZN.v.0
boundary_corrected_v1,eq7_rod,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1221,2020-05-01,2020-05-01,4.411051258887196e-07,4.51309209689198e-07,0.0226099613777118,2.2609961377711874,1.819445832846511,r_LH_executable,ZN.v.0
boundary_corrected_v1,eq5_onfh,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1228,2020-05-01,2025-12-30,2.948386938814956e-07,2.947619036088282e-07,-0.0002605162733961,-0.0260516273396183,0.3515756173860747,r_LH_executable,6E.v.0
boundary_corrected_v1,eq5_onfh,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1228,2020-05-01,2020-05-01,2.94623054506977e-07,2.9466528563238016e-07,0.0001433189705823,0.0143318970582395,0.5083741307745571,r_LH_executable,6E.v.0
boundary_corrected_v1,eq6_onfh_m_slh,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1228,2020-05-01,2025-12-30,3.125041704013487e-07,2.947619036088282e-07,-0.0601918584976495,-6.019185849764952,-0.1982184968181913,r_LH_executable,6E.v.0
boundary_corrected_v1,eq6_onfh_m_slh,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1228,2020-05-01,2020-05-01,3.180500585848657e-07,2.9466528563238016e-07,-0.0793604611493326,-7.9360461149332595,-0.165699592072357,r_LH_executable,6E.v.0
boundary_corrected_v1,eq7_rod,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1228,2020-05-01,2025-12-30,2.949751142334688e-07,2.947619036088282e-07,-0.0007233316857784,-0.0723331685778427,-0.5158235521057688,r_LH_executable,6E.v.0
boundary_corrected_v1,eq7_rod,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1228,2020-05-01,2020-05-01,2.949979888892646e-07,2.9466528563238016e-07,-0.0011290887427422,-0.1129088742742201,-0.0730244777413336,r_LH_executable,6E.v.0
