sample,spec,predictors,start,end,nobs,nw_lags,alpha,alpha_se_hac,alpha_t_hac,alpha_p_hac,alpha_ci_low,alpha_ci_high,r2,r2_x100,adj_r2,adj_r2_x100,beta_r_ONFH,beta_r_ONFH_x100,beta_r_ONFH_se_hac,beta_r_ONFH_t_hac,beta_r_ONFH_p_hac,beta_r_ONFH_ci_low,beta_r_ONFH_ci_high,beta_r_M,beta_r_M_x100,beta_r_M_se_hac,beta_r_M_t_hac,beta_r_M_p_hac,beta_r_M_ci_low,beta_r_M_ci_high,beta_r_SLH,beta_r_SLH_x100,beta_r_SLH_se_hac,beta_r_SLH_t_hac,beta_r_SLH_p_hac,beta_r_SLH_ci_low,beta_r_SLH_ci_high,beta_r_ROD,beta_r_ROD_x100,beta_r_ROD_se_hac,beta_r_ROD_t_hac,beta_r_ROD_p_hac,beta_r_ROD_ci_low,beta_r_ROD_ci_high
replication,eq5_onfh,r_ONFH,2010-06-08,2020-05-29,2443,8,-1.9543718257842863e-05,5.535124238448137e-05,-0.3530854487797778,0.7240548688570283,-0.00012808397883367178,8.899654231798605e-05,0.013887669425314497,1.3887669425314497,0.013483690592633324,1.3483690592633324,0.046346812697340506,4.634681269734051,0.027819024027882246,1.6660114549988656,0.09583943975802123,-0.008204521416853593,0.10089814681153461,,,,,,,,,,,,,,,,,,,,,
replication,eq6_onfh_m_slh,r_ONFH+r_M+r_SLH,2010-06-08,2020-05-29,2443,8,-3.143798986727056e-05,5.388455457664132e-05,-0.583432304753592,0.5596562603580846,-0.00013710221205997172,7.422623232543059e-05,0.027502587630303332,2.7502587630303332,0.026306403851250826,2.6306403851250826,0.04312939582224245,4.312939582224245,0.025421516083732446,1.6965705617314264,0.08990548025058538,-0.006720598207610055,0.09297938985209495,0.02687170188778824,2.687170188778824,0.023088821744553723,1.1638403286701642,0.24460256298657518,-0.01840402526913208,0.07214742904470856,0.13981997231759893,13.981997231759893,0.08327813609406304,1.67895174982869,0.09328953905024873,-0.02348321437797468,0.30312315901317255,,,,,,,
replication,eq7_rod,r_ROD,2010-06-08,2020-05-29,2443,8,-2.8843183072290344e-05,5.397439670999214e-05,-0.5343863911488738,0.5931228982827945,-0.00013468353698218213,7.699717083760144e-05,0.021464427007009568,2.1464427007009568,0.021063552130732188,2.106355213073219,,,,,,,,,,,,,,,,,,,,,,0.04215473208723618,4.215473208723617,0.018144425206521292,2.3232883713552597,0.02024544165388299,0.006574670013207405,0.07773479416126494
oos,eq5_onfh,r_ONFH,2021-01-05,2025-12-31,1224,6,-3.320068919665151e-05,6.950057426680736e-05,-0.4777038110389796,0.6329464652667084,-0.0001695543647412746,0.00010315298634797158,0.004579449603407504,0.4579449603407504,0.003764866501609898,0.3764866501609898,-0.02401231139238723,-2.401231139238723,0.01512430791852459,-1.587663483297402,0.11262114773472923,-0.05368479966338536,0.005660176878610902,,,,,,,,,,,,,,,,,,,,,
oos,eq6_onfh_m_slh,r_ONFH+r_M+r_SLH,2021-01-05,2025-12-31,1224,6,-2.232044396408164e-05,7.069834364032027e-05,-0.315713817534927,0.7522737368890063,-0.00016102425727426015,0.00011638336934609688,0.018446746782579848,1.8446746782579848,0.016033091241881348,1.6033091241881348,-0.026459920495579464,-2.6459920495579463,0.015389205654975945,-1.7193818244298993,0.08579851472847158,-0.05665216260834047,0.0037323216171815422,-0.00788098675263042,-0.7880986752630419,0.017166737264137467,-0.45908471897536174,0.6462551105699146,-0.041560586556887186,0.025798613051626344,0.1413580945683071,14.135809456830712,0.05634504240969634,2.508793826801362,0.012243272586270604,0.03081417174164204,0.2519020173949722,,,,,,,
oos,eq7_rod,r_ROD,2021-01-05,2025-12-31,1224,6,-3.650898292500268e-05,6.987235112320814e-05,-0.5225097243489807,0.601410187674467,-0.0001735920501528954,0.00010057408430289003,0.000569873973943591,0.056987397394359096,-0.00024799028630684283,-0.024799028630684283,,,,,,,,,,,,,,,,,,,,,,-0.005838648129179215,-0.5838648129179215,0.01085632012543891,-0.5378109766216169,0.5908054813401672,-0.027137740512357292,0.015460444253998864
