sample,strategy,strategy_price_type,return_basis,round_trip_ticks,nobs,trade_count,trade_rate,avg_daily,avg_ann,avg_ann_pct,vol_ann,vol_ann_pct,sharpe,success_rate,max_drawdown,avg_trade_return,avg_trade_return_bp,t_stat_mean,p_value_mean
replication,timing_rONFH,paper_statistical,r_LH,0,2424,2424,1.0,7.154297308222653e-05,0.018028829216721085,1.8028829216721085,0.047871214686523854,4.787121468652385,0.3766110664786693,0.48473597359735976,-0.11781214270117668,7.154297308222653e-05,0.7154297308222654,1.1680437628304317,0.24290403005860273
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,2424,1805,0.7446369636963697,0.00012198658336768414,0.030740619008656402,3.0740619008656402,0.04174457329596997,4.174457329596997,0.73639796940083,0.3659240924092409,-0.08128963877038031,0.00012198658336768414,1.2198658336768413,2.2839080730208754,0.022463090762350868
replication,timing_rROD,paper_statistical,r_LH,0,2424,2424,1.0,0.00018758830158620502,0.047272251999723666,4.7272251999723665,0.04779196776301703,4.779196776301703,0.9891254579457693,0.4962871287128713,-0.06838301558303206,0.00018758830158620502,1.87588301586205,3.067732004300481,0.0021807545258307748
replication,always_long,paper_statistical,r_LH,0,2424,2424,1.0,-1.6487206209350874e-05,-0.00415477596475642,-0.415477596475642,0.04788397472033529,4.7883974720335285,-0.08676756658197751,0.49958745874587457,-0.17838909629215516,-1.6487206209350874e-05,-0.16487206209350874,-0.26910604595256427,0.7878709901189476
replication,timing_rONFH,paper_statistical,r_LH,1,2424,2424,1.0,-6.369151691612828e-05,-0.016050262262864327,-1.6050262262864328,0.04787869614938485,4.787869614938485,-0.33522763888110896,0.46575907590759075,-0.28329625767808686,-6.369151691612828e-05,-0.6369151691612828,-1.0396947609228817,0.29858546981667455
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,1,2424,1805,0.7446369636963697,2.1574756154745393e-05,0.005436838550995839,0.5436838550995838,0.04173941393347219,4.173941393347219,0.13025670556039748,0.35148514851485146,-0.1440103136715818,2.1574756154745393e-05,0.21574756154745392,0.40398582526857196,0.68625879468699
replication,timing_rROD,paper_statistical,r_LH,1,2424,2424,1.0,5.235381158785022e-05,0.013193160520138256,1.3193160520138256,0.047803486253732076,4.7803486253732075,0.2759874133470391,0.47813531353135313,-0.13938309250158676,5.235381158785022e-05,0.5235381158785022,0.8559636332353272,0.3921025324782117
replication,always_long,paper_statistical,r_LH,1,2424,2424,1.0,-0.00015172169620770567,-0.03823386744434183,-3.8233867444341834,0.04787204333488711,4.78720433348871,-0.7986679652856726,0.4806105610561056,-0.36721315404618005,-0.00015172169620770567,-1.5172169620770566,-2.477035909079529,0.01331561481707455
replication,timing_rONFH,paper_statistical,r_LH,2,2424,2424,1.0,-0.00019892600691448308,-0.050129353742449735,-5.012935374244973,0.047895669145224834,4.789566914522483,-1.0466364629013143,0.43316831683168316,-0.4811640133218743,-0.00019892600691448308,-1.9892600691448308,-3.246100025348103,0.00118592139378082
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,2,2424,1805,0.7446369636963697,-7.883707105819335e-05,-0.019866941906664725,-1.9866941906664726,0.04176317928900313,4.176317928900313,-0.4757047294983116,0.3254950495049505,-0.312761756844003,-7.883707105819335e-05,-0.7883707105819335,-1.4753786908991728,0.14024068840687365
replication,timing_rROD,paper_statistical,r_LH,2,2424,2424,1.0,-8.288067841050458e-05,-0.020885930959447154,-2.088593095944715,0.04782450879896316,4.782450879896317,-0.43672023997661974,0.4430693069306931,-0.34491711189817953,-8.288067841050458e-05,-0.8288067841050458,-1.3544698969577191,0.1757127998621697
replication,always_long,paper_statistical,r_LH,2,2424,2424,1.0,-0.0002869561862060605,-0.07231295892392725,-7.231295892392725,0.047869606846085225,4.786960684608522,-1.5106236229688401,0.44801980198019803,-0.5362617544851075,-0.0002869561862060605,-2.869561862060605,-4.68513715566295,2.952511362064314e-06
replication,timing_rONFH,paper_statistical,r_LH,3,2424,2424,1.0,-0.0003341604969128379,-0.08420844522203515,-8.420844522203515,0.047922123588948186,4.792212358894819,-1.7571935238999994,0.39603960396039606,-0.6247908600535748,-0.0003341604969128379,-3.3416049691283787,-5.44986358172688,5.550378534557865e-08
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,3,2424,1805,0.7446369636963697,-0.0001792488982711321,-0.04517072236432529,-4.517072236432529,0.041815820045882995,4.181582004588299,-1.0802304561948344,0.297029702970297,-0.4592614186411036,-0.0001792488982711321,-1.792488982711321,-3.3502904165173066,0.0008196422946920023
replication,timing_rROD,paper_statistical,r_LH,3,2424,2424,1.0,-0.0002181151684088594,-0.05496502243903257,-5.496502243903257,0.04785502287341756,4.785502287341756,-1.1485737366466595,0.40924092409240925,-0.5190913147246046,-0.0002181151684088594,-2.181151684088594,-3.562254295352626,0.00037477663417928575
replication,always_long,paper_statistical,r_LH,3,2424,2424,1.0,-0.0004221906762044153,-0.10639205040351266,-10.639205040351266,0.04787666670354244,4.787666670354244,-2.2222108958065916,0.41295379537953797,-0.6622233288180781,-0.0004221906762044153,-4.221906762044153,-6.892095871770481,6.98485713712671e-12
replication,timing_rONFH,executable_next_open,r_LH_executable,0,2424,2424,1.0,7.234796657486682e-05,0.01823168757686644,1.823168757686644,0.04789809803322407,4.789809803322407,0.38063489627960173,0.48473597359735976,-0.1200251623537979,7.234796657486682e-05,0.7234796657486682,1.1805235057801424,0.23790794150171446
replication,timing_agree_ONFH_ROD,executable_next_open,r_LH_executable,0,2424,1805,0.7446369636963697,0.00012218859446738476,0.03079152580578096,3.079152580578096,0.04177866440221978,4.177866440221978,0.7370155615636422,0.36674917491749176,-0.08396787784599558,0.00012218859446738476,1.2218859446738475,2.28582350976173,0.022350559269027404
replication,timing_rROD,executable_next_open,r_LH_executable,0,2424,2424,1.0,0.00018700721296780533,0.04712581766788694,4.712581766788694,0.047819774781023935,4.781977478102394,0.9854880723233274,0.4971122112211221,-0.06924101686247641,0.00018700721296780533,1.8700721296780534,3.0564508021068573,0.002264180310390218
replication,always_long,executable_next_open,r_LH_executable,0,2424,2424,1.0,-1.7691073333998488e-05,-0.004458150480167619,-0.4458150480167619,0.04791104740123476,4.791104740123476,-0.09305057438699878,0.5,-0.17728097231201023,-1.7691073333998488e-05,-0.1769107333399849,-0.2885925367428864,0.7729178931381742
replication,timing_rONFH,executable_next_open,r_LH_executable,1,2424,2424,1.0,-6.288633288013663e-05,-0.01584735588579443,-1.5847355885794432,0.04790483614847622,4.790483614847622,-0.3308091032119836,0.466996699669967,-0.28172200564973326,-6.288633288013663e-05,-0.6288633288013663,-1.0259908539256133,0.30499830921406534
replication,timing_agree_ONFH_ROD,executable_next_open,r_LH_executable,1,2424,1805,0.7446369636963697,2.1776942044253643e-05,0.005487789395151918,0.5487789395151919,0.04177296880316718,4.177296880316718,0.13137178305449623,0.3523102310231023,-0.14587911763412742,2.1776942044253643e-05,0.21776942044253642,0.4074441923426803,0.6837177683167561
replication,timing_rROD,executable_next_open,r_LH_executable,1,2424,2424,1.0,5.1772913512801874e-05,0.013046774205226073,1.3046774205226073,0.04783121712081786,4.783121712081786,0.27276692901773664,0.4773102310231023,-0.14033878694965873,5.1772913512801874e-05,0.5177291351280188,0.8459754332886114,0.397649985059354
replication,always_long,executable_next_open,r_LH_executable,1,2424,2424,1.0,-0.00015292537278900194,-0.038537193942828486,-3.8537193942828485,0.04789925751552769,4.789925751552769,-0.804546791363848,0.48102310231023104,-0.3677134819587934,-0.00015292537278900194,-1.5292537278900193,-2.4952688468356654,0.012652235842175008
replication,timing_rONFH,executable_next_open,r_LH_executable,2,2424,2424,1.0,-0.00019812063233514007,-0.049926399348455296,-4.9926399348455295,0.04792106086579583,4.792106086579583,-1.0418467046936934,0.4306930693069307,-0.4801479575875789,-0.00019812063233514007,-1.9812063233514006,-3.231244786886345,0.0012490364616406513
replication,timing_agree_ONFH_ROD,executable_next_open,r_LH_executable,2,2424,1805,0.7446369636963697,-7.863471037887747e-05,-0.019815947015477123,-1.9815947015477124,0.04179617483951693,4.179617483951692,-0.4741091042796048,0.32425742574257427,-0.31222716349079094,-7.863471037887747e-05,-0.7863471037887747,-1.4704299247836368,0.14157519179452693
replication,timing_rROD,executable_next_open,r_LH_executable,2,2424,2424,1.0,-8.346138594220154e-05,-0.021032269257434788,-2.1032269257434786,0.047852157937638876,4.7852157937638875,-0.4395260352698018,0.44183168316831684,-0.34580721846597295,-8.346138594220154e-05,-0.8346138594220154,-1.3631719558818585,0.1729549775637158
replication,always_long,executable_next_open,r_LH_executable,2,2424,2424,1.0,-0.0002881596722440054,-0.07261623740548935,-7.261623740548935,0.04789695705233532,4.789695705233532,-1.5160929185155572,0.4467821782178218,-0.5372061984590966,-0.0002881596722440054,-2.8815967224400536,-4.7020999512869635,2.7194955058984505e-06
replication,timing_rONFH,executable_next_open,r_LH_executable,3,2424,2424,1.0,-0.0003333549317901435,-0.08400544281111616,-8.400544281111616,0.047946762554662785,4.794676255466278,-1.752056621452676,0.400990099009901,-0.6240556943750645,-0.0003333549317901435,-3.3335493179014346,-5.433931689655928,6.063217883323091e-08
replication,timing_agree_ONFH_ROD,executable_next_open,r_LH_executable,3,2424,1805,0.7446369636963697,-0.00017904636280200858,-0.04511968342610616,-4.511968342610616,0.04184823443095985,4.1848234430959845,-1.0781741222689685,0.30033003300330036,-0.45884041390104036,-0.00017904636280200858,-1.7904636280200859,-3.3439127812585707,0.000838628909132888
replication,timing_rROD,executable_next_open,r_LH_executable,3,2424,2424,1.0,-0.00021869568539720498,-0.05511131272009565,-5.511131272009565,0.04788258476938767,4.788258476938767,-1.1509677889262457,0.41295379537953797,-0.5197446762402116,-0.00021869568539720498,-2.18695685397205,-3.5696793502221142,0.0003643673688631388
replication,always_long,executable_next_open,r_LH_executable,3,2424,2424,1.0,-0.00042339397169900874,-0.10669528086815021,-10.66952808681502,0.0479041473787669,4.79041473787669,-2.227266044932092,0.4113036303630363,-0.6629112408993814,-0.00042339397169900874,-4.233939716990087,-6.9077742092697685,6.268319197033634e-12
oos,timing_rONFH,paper_statistical,r_LH,0,1224,1224,1.0,-4.974364443578829e-05,-0.01253539839781865,-1.253539839781865,0.041481465666796086,4.148146566679609,-0.30219275515745897,0.4869281045751634,-0.1336470649205307,-4.974364443578829e-05,-0.4974364443578829,-0.6660003950200782,0.5055364450874631
oos,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,1224,871,0.7116013071895425,-2.190730294941848e-05,-0.005520640343253457,-0.5520640343253457,0.03455855487168807,3.4558554871688068,-0.15974743052048787,0.3488562091503268,-0.07411057086995532,-2.190730294941848e-05,-0.2190730294941848,-0.3520661895903211,0.7248492780623241
oos,timing_rROD,paper_statistical,r_LH,0,1224,1224,1.0,8.316274270390665e-06,0.0020957011161384475,0.20957011161384476,0.04148877700593953,4.148877700593953,0.05051248234765819,0.49673202614379086,-0.13517579039815997,8.316274270390665e-06,0.08316274270390665,0.11132408908829106,0.9113776203274715
oos,always_long,paper_statistical,r_LH,0,1224,1224,1.0,-6.183926455032382e-05,-0.015583494666681602,-1.5583494666681603,0.041477362504355665,4.147736250435567,-0.37571083901598445,0.48284313725490197,-0.13167841784158407,-6.183926455032382e-05,-0.6183926455032381,-0.8280263604188345,0.40781711900311857
oos,timing_rONFH,paper_statistical,r_LH,1,1224,1224,1.0,-0.00010271325106572973,-0.025883739268563893,-2.5883739268563892,0.04148335178134757,4.148335178134757,-0.623954867605519,0.47794117647058826,-0.15063105969395252,-0.00010271325106572973,-1.0271325106572973,-1.3751295529353436,0.16934312854421596
oos,timing_agree_ONFH_ROD,paper_statistical,r_LH,1,1224,871,0.7116013071895425,-5.9759957213274507e-05,-0.015059509217745176,-1.5059509217745177,0.03455875259235299,3.4558752592352993,-0.4357654165178832,0.3423202614379085,-0.08984535628240098,-5.9759957213274507e-05,-0.5975995721327451,-0.9603802029793157,0.3370537245757834
oos,timing_rROD,paper_statistical,r_LH,1,1224,1224,1.0,-4.465333235955081e-05,-0.011252639754606804,-1.1252639754606804,0.041479750725113236,4.147975072511324,-0.27128031287309734,0.4877450980392157,-0.1567360572663995,-4.465333235955081e-05,-0.4465333235955081,-0.5978726903645086,0.5500355729695596
oos,always_long,paper_statistical,r_LH,1,1224,1224,1.0,-0.00011480887118026526,-0.028931835537426846,-2.8931835537426847,0.04148165725992615,4.148165725992615,-0.6974609369181783,0.47549019607843135,-0.15501271624273105,-0.00011480887118026526,-1.1480887118026526,-1.537129039564651,0.12452037303054819
oos,timing_rONFH,paper_statistical,r_LH,2,1224,1224,1.0,-0.00015568285769567122,-0.03923208013930915,-3.923208013930915,0.041485725408289535,4.148572540828954,-0.9456766093204177,0.47058823529411764,-0.18983946302544685,-0.00015568285769567122,-1.5568285769567123,-2.0841697380881126,0.03735186065859186
oos,timing_agree_ONFH_ROD,paper_statistical,r_LH,2,1224,871,0.7116013071895425,-9.761261147713053e-05,-0.024598378092236892,-2.459837809223689,0.0345635990346515,3.4563599034651498,-0.7116845114299573,0.3382352941176471,-0.12105158756861667,-9.761261147713053e-05,-0.9761261147713053,-1.5684762710312241,0.117028701201086
oos,timing_rROD,paper_statistical,r_LH,2,1224,1224,1.0,-9.762293898949226e-05,-0.02460098062535205,-2.460098062535205,0.041471210248484484,4.147121024848448,-0.5932062382059627,0.47630718954248363,-0.1831300617115975,-9.762293898949226e-05,-0.9762293898949226,-1.3073628742942225,0.19133522518874457
oos,always_long,paper_statistical,r_LH,2,1224,1224,1.0,-0.0001677784778102067,-0.04228017640817209,-4.2280176408172085,0.04148643916064326,4.1486439160643265,-1.0191324505932005,0.4624183006535948,-0.1922919309713661,-0.0001677784778102067,-1.677784778102067,-2.2460585275090064,0.024878182161903073
oos,timing_rONFH,paper_statistical,r_LH,3,1224,1224,1.0,-0.0002086524643256126,-0.052580421010054376,-5.2580421010054375,0.04148858646394795,4.148858646394795,-1.2673466485956282,0.46078431372549017,-0.2344250929142535,-0.0002086524643256126,-2.086524643256126,-2.793095976613545,0.005302023712424386
oos,timing_agree_ONFH_ROD,paper_statistical,r_LH,3,1224,871,0.7116013071895425,-0.0001354652657409865,-0.0341372469667286,-3.4137246966728605,0.034573092243615794,3.4573092243615795,-0.9873935118728735,0.3300653594771242,-0.1588549533329212,-0.0001354652657409865,-1.3546526574098652,-2.1761093134246323,0.029737966956449258
oos,timing_rROD,paper_statistical,r_LH,3,1224,1224,1.0,-0.0001505925456194337,-0.037949321496097296,-3.7949321496097297,0.04146315587624747,4.1463155876247475,-0.9152540537281412,0.46486928104575165,-0.20869915457104982,-0.0001505925456194337,-1.5059254561943372,-2.0171216911174987,0.04390096175611058
oos,always_long,paper_statistical,r_LH,3,1224,1224,1.0,-0.00022074808444014823,-0.05562851727891735,-5.562851727891735,0.041491708038077245,4.149170803807724,-1.340714082627465,0.4493464052287582,-0.24023166418604347,-0.00022074808444014823,-2.2074808444014824,-2.9547899259650205,0.003188717809947228
oos,timing_rONFH,executable_next_open,r_LH_executable,0,1224,1224,1.0,-5.1045299876812127e-05,-0.012863415568956656,-1.2863415568956655,0.041493365136186545,4.149336513618654,-0.3100113843921137,0.4861111111111111,-0.1336410002999363,-5.1045299876812127e-05,-0.5104529987681212,-0.6832318146022001,0.49458978063446235
oos,timing_agree_ONFH_ROD,executable_next_open,r_LH_executable,0,1224,871,0.7116013071895425,-2.2345589633949014e-05,-0.005631088587755151,-0.5631088587755151,0.03457722721443191,3.4577227214431914,-0.1628554121136942,0.3488562091503268,-0.07407853280500298,-2.2345589633949014e-05,-0.22345589633949015,-0.35891584741124405,0.7197199950241404
oos,timing_rROD,executable_next_open,r_LH_executable,0,1224,1224,1.0,8.72907643386993e-06,0.0021997272613352224,0.21997272613352223,0.041501051635261216,4.1501051635261215,0.0530041330197578,0.49754901960784315,-0.1353538185034806,8.72907643386993e-06,0.0872907643386993,0.11681541971600819,0.9070255035135526
oos,always_long,executable_next_open,r_LH_executable,0,1224,1224,1.0,-6.198166074142035e-05,-0.015619378506837927,-1.5619378506837927,0.041489608307508086,4.148960830750808,-0.37646483406331405,0.48447712418300654,-0.1306531776731139,-6.198166074142035e-05,-0.6198166074142034,-0.8296880845693787,0.4068770731171596
oos,timing_rONFH,executable_next_open,r_LH_executable,1,1224,1224,1.0,-0.00010401488756729059,-0.026211751666957227,-2.6211751666957226,0.04149522420595263,4.149522420595263,-0.6316811673762944,0.4795751633986928,-0.15116774603278527,-0.00010401488756729059,-1.0401488756729058,-1.3921574882897132,0.1641277993745367
oos,timing_agree_ONFH_ROD,executable_next_open,r_LH_executable,1,1224,871,0.7116013071895425,-6.0198224284264536e-05,-0.015169952519634664,-1.5169952519634664,0.034577466138520106,3.4577466138520108,-0.4387236606309617,0.3431372549019608,-0.09013816028849742,-6.0198224284264536e-05,-0.6019822428426453,-0.9668998554668464,0.3337852584114267
