sample,strategy,strategy_price_type,return_basis,round_trip_ticks,nobs,trade_count,trade_rate,avg_daily,avg_ann,avg_ann_pct,vol_ann,vol_ann_pct,sharpe,success_rate,max_drawdown,avg_trade_return,avg_trade_return_bp,t_stat_mean,p_value_mean,year
replication,timing_rONFH,paper_statistical,r_LH,0,139,139,1.0,0.00011756497590090012,0.02962637392702683,2.9626373927026832,0.014078020379041928,1.407802037904193,2.104441755968181,0.5323741007194245,-0.0064028755672037585,0.00011756497590090012,1.1756497590090011,1.5629462403956769,0.12035557185098855,2010
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,139,104,0.7482014388489209,0.0001552993081690275,0.03913542565859493,3.913542565859493,0.012345204540057527,1.2345204540057526,3.1700913121049483,0.4244604316546763,-0.005660646089532206,0.0001552993081690275,1.552993081690275,2.354392695314083,0.01996285251765184,2010
replication,timing_rROD,paper_statistical,r_LH,0,139,139,1.0,0.00019303364043715487,0.048644477390163025,4.864447739016303,0.013865094909460772,1.3865094909460771,3.5084128675506383,0.5467625899280576,-0.007873638207533173,0.00019303364043715487,1.9303364043715487,2.6056604729225854,0.010175800415720193,2010
replication,always_long,paper_statistical,r_LH,0,139,139,1.0,-6.0180835887894874e-06,-0.0015165570643749509,-0.1516557064374951,0.014201750882556586,1.4201750882556585,-0.10678662630518848,0.4028776978417266,-0.01027526265173706,-6.0180835887894874e-06,-0.06018083588789488,-0.07930927792841037,0.9369015171636337,2010
replication,timing_rONFH,paper_statistical,r_LH,0,243,243,1.0,8.45004380829745e-06,0.002129411039690957,0.2129411039690957,0.013099014570708055,1.3099014570708054,0.1625626895974858,0.51440329218107,-0.01906128472550317,8.45004380829745e-06,0.0845004380829745,0.15963339219773337,0.873303026965299,2011
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,243,176,0.7242798353909465,7.773310002096457e-05,0.01958874120528307,1.9588741205283071,0.009155230430723213,0.9155230430723212,2.1396229568998044,0.4156378600823045,-0.006849003796518538,7.773310002096457e-05,0.7773310002096457,2.10106803399827,0.03666962057316048,2011
replication,timing_rROD,paper_statistical,r_LH,0,243,243,1.0,0.00013663547292851888,0.03443213917798676,3.443213917798676,0.012918132928727746,1.2918132928727746,2.6654114311995887,0.5596707818930041,-0.0073095493956497615,0.00013663547292851888,1.3663547292851888,2.6173820660727207,0.009418993619333182,2011
replication,always_long,paper_statistical,r_LH,0,243,243,1.0,4.772218531028648e-05,0.012025990698192192,1.2025990698192193,0.01307768988096311,1.307768988096311,0.9195806604726228,0.4691358024691358,-0.011567555885777403,4.772218531028648e-05,0.4772218531028648,0.903010282335703,0.36741838669127325,2011
replication,timing_rONFH,paper_statistical,r_LH,0,240,240,1.0,-9.857751944610897e-06,-0.002484153490041946,-0.2484153490041946,0.006895823322196963,0.6895823322196963,-0.3602403040178981,0.38333333333333336,-0.008660992354590058,-9.857751944610897e-06,-0.09857751944610897,-0.35155853897006856,0.7254791050792275,2012
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,240,188,0.7833333333333333,-3.556150485186001e-05,-0.008961499222668723,-0.8961499222668723,0.005863306492100899,0.5863306492100898,-1.528403680541302,0.26666666666666666,-0.01167692670662035,-3.556150485186001e-05,-0.3556150485186001,-1.4915692633350632,0.13713081318273446,2012
