sample,strategy,nobs,trade_count,trade_rate,avg_daily,avg_ann,avg_ann_pct,vol_ann,vol_ann_pct,sharpe,success_rate,max_drawdown,avg_trade_return,avg_trade_return_bp,t_stat_mean,p_value_mean,year
replication,timing_rONFH,141,141,1.0,1.5245201748271181e-05,0.0038417908405643376,0.38417908405643375,0.04179287870617451,4.179287870617451,0.09192453258781498,0.46808510638297873,-0.02759123327607982,1.5245201748271181e-05,0.1524520174827118,0.06876076759834542,0.9452781590264543,2010
replication,timing_agree_ONFH_ROD,141,97,0.6879432624113475,0.00013834970347126723,0.03486412527475934,3.486412527475934,0.03246488339800846,3.246488339800846,1.0739026796226863,0.3333333333333333,-0.01731159067542698,0.00013834970347126723,1.3834970347126723,0.803293424486382,0.42316687903243855,2010
replication,timing_rROD,141,141,1.0,0.000251472222672714,0.06337100011352394,6.337100011352394,0.04160112766045212,4.160112766045212,1.5233000564493646,0.49645390070921985,-0.014944507233193294,0.000251472222672714,2.51472222672714,1.1394486130674697,0.2564619000457673,2010
replication,always_long,141,141,1.0,7.767226280721479e-05,0.019573410227418125,1.9573410227418124,0.04177526214575579,4.177526214575579,0.46854069183636976,0.49645390070921985,-0.03840279365366106,7.767226280721479e-05,0.7767226280721479,0.35047464169536763,0.7265092865214782,2010
replication,timing_rONFH,247,247,1.0,0.00024277358014601085,0.06117894219679473,6.1178942196794734,0.06617378458106059,6.617378458106058,0.9245193180972241,0.5141700404858299,-0.07217330739581551,0.00024277358014601085,2.4277358014601087,0.9153015473167156,0.360929674310019,2011
replication,timing_agree_ONFH_ROD,247,179,0.7246963562753036,0.0002908445457306224,0.07329282552411684,7.329282552411684,0.05733443577229192,5.733443577229192,1.2783386552403668,0.3765182186234818,-0.04485893132474428,0.0002908445457306224,2.908445457306224,1.265593185812945,0.20685611194222386,2011
replication,timing_rROD,247,247,1.0,0.0003686298819277213,0.09289473024578578,9.289473024578578,0.06602650829312476,6.602650829312476,1.4069308319831106,0.5182186234817814,-0.03731829190482905,0.0003686298819277213,3.686298819277213,1.3929032549932194,0.16490654070813204,2011
replication,always_long,247,247,1.0,2.9983958201761708e-05,0.00755595746684395,0.755595746684395,0.06628465353818325,6.628465353818324,0.1139925618301881,0.5060728744939271,-0.04538463016712413,2.9983958201761708e-05,0.29983958201761707,0.11285601737398766,0.9102367465449448,2011
replication,timing_rONFH,243,243,1.0,0.00017352147559885408,0.043727411850911224,4.372741185091122,0.034507548777453975,3.4507548777453976,1.2671839467044725,0.5349794238683128,-0.01905592836175085,0.00017352147559885408,1.7352147559885407,1.244349933258457,0.21457462325783783,2012
replication,timing_agree_ONFH_ROD,243,184,0.757201646090535,6.486925547541778e-05,0.01634705237980528,1.6347052379805278,0.030967632372824648,3.096763237282465,0.5278754340338423,0.38271604938271603,-0.035987429762137424,6.486925547541778e-05,0.6486925547541778,0.5183633858502324,0.6046783725785239,2012
