sample,strategy,strategy_price_type,return_basis,round_trip_ticks,nobs,trade_count,trade_rate,avg_daily,avg_ann,avg_ann_pct,vol_ann,vol_ann_pct,sharpe,success_rate,max_drawdown,avg_trade_return,avg_trade_return_bp,t_stat_mean,p_value_mean,year
replication,timing_rONFH,paper_statistical,r_LH,0,141,141,1.0,-0.00024392322836835702,-0.06146865354882597,-6.146865354882597,0.0379505635943658,3.79505635943658,-1.6197033120728594,0.425531914893617,-0.041525222826629404,-0.00024392322836835702,-2.43923228368357,-1.2115595248017077,0.22772201701899997,2010
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,141,95,0.6737588652482269,-0.00022357688074629777,-0.056341373948067035,-5.634137394806704,0.02871665857738842,2.871665857738842,-1.9619752693800663,0.28368794326241137,-0.043662416701825024,-0.00022357688074629777,-2.2357688074629776,-1.4675834810763717,0.1444603847879007,2010
replication,timing_rROD,paper_statistical,r_LH,0,141,141,1.0,-0.0001352578471607247,-0.03408497748450262,-3.4084977484502623,0.03808809283507154,3.808809283507154,-0.8948985088882464,0.46808510638297873,-0.04167968311901005,-0.0001352578471607247,-1.3525784716072469,-0.6693959344855801,0.5043453906745197,2010
replication,always_long,paper_statistical,r_LH,0,141,141,1.0,0.00024269362840561467,0.0611587943582149,6.11587943582149,0.03795256429880206,3.7952564298802063,1.6114535470306897,0.5319148936170213,-0.026225044671648545,0.00024269362840561467,2.4269362840561466,1.2053885913105455,0.23008674406294105,2010
replication,timing_rONFH,paper_statistical,r_LH,0,247,247,1.0,0.00013548979167886518,0.034143427503074024,3.4143427503074024,0.06903702816219363,6.903702816219363,0.49456687826796986,0.5182186234817814,-0.07528034806012063,0.00013548979167886518,1.354897916788652,0.48963587895809246,0.6248279166388064,2011
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,247,195,0.7894736842105263,0.00026642543267975974,0.06713920903529945,6.713920903529945,0.06291649030414315,6.291649030414314,1.0671162474375693,0.4291497975708502,-0.048516009223211976,0.00026642543267975974,2.6642543267975975,1.0564767369671118,0.29178685934450277,2011
replication,timing_rROD,paper_statistical,r_LH,0,247,247,1.0,0.0003992946994017912,0.10062226424925139,10.06222642492514,0.06877801165250105,6.877801165250105,1.4630004827362924,0.5425101214574899,-0.03146488913451373,0.0003992946994017912,3.9929469940179123,1.4484138723349096,0.1487747126887371,2011
replication,always_long,paper_statistical,r_LH,0,247,247,1.0,5.296116022887632e-05,0.013346212377676832,1.3346212377676832,0.06906552283437642,6.906552283437642,0.1932398659991601,0.5182186234817814,-0.04759780509925915,5.296116022887632e-05,0.5296116022887633,0.19131319907552846,0.8484380276130699,2011
replication,timing_rONFH,paper_statistical,r_LH,0,243,243,1.0,0.0001557804836614323,0.039256681882680944,3.9256681882680944,0.030495618316591734,3.0495618316591733,1.2872892582513267,0.5308641975308642,-0.018345415472414528,0.0001557804836614323,1.5578048366143231,1.2640929572657702,0.20741286707923523,2012
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,243,173,0.7119341563786008,5.662044384623882e-05,0.014268351849252183,1.4268351849252183,0.026208402081488766,2.6208402081488766,0.5444189922334124,0.37037037037037035,-0.019492878711491413,5.662044384623882e-05,0.5662044384623882,0.5346088375031117,0.593411196221961,2012
