sample,n_trades,avg_gross_return_bp,break_even_round_trip_ticks,break_even_one_way_ticks,break_even_round_trip_usd_per_contract,break_even_one_way_usd_per_contract
replication,2379,0.31352800463345015,0.25418897092939174,0.12709448546469587,3.971702670771746,1.985851335385873
oos,1221,0.9086485388196385,0.677698347225437,0.3388491736127185,10.589036675397454,5.294518337698727
