sample,strategy,nobs,trade_count,trade_rate,avg_daily,avg_ann,avg_ann_pct,vol_ann,vol_ann_pct,sharpe,success_rate,max_drawdown,avg_trade_return,avg_trade_return_bp,t_stat_mean,p_value_mean
replication,timing_rONFH,2421,2421,1.0,5.1383470278339524e-05,0.01294863451014156,1.294863451014156,0.024385764587566937,2.438576458756694,0.5309915325248162,0.5055762081784386,-0.04277633280951776,5.1383470278339524e-05,0.5138347027833953,1.6458290360778154,0.09992881855582736
replication,timing_agree_ONFH_ROD,2421,1922,0.7938868236266006,4.2263619517325046e-05,0.010650432118365912,1.0650432118365911,0.02165860551565687,2.165860551565687,0.49174135937176483,0.3952912019826518,-0.05773073834874343,4.2263619517325046e-05,0.42263619517325046,1.5241715882853593,0.12759651680713135
replication,timing_rROD,2421,2421,1.0,3.396818521839261e-05,0.008559982675034937,0.8559982675034936,0.024393446825004973,2.439344682500497,0.35091320781532037,0.48698884758364314,-0.07064748509622498,3.396818521839261e-05,0.3396818521839261,1.0876692210504713,0.27684947363857937
replication,always_long,2421,2421,1.0,-2.54698397816071e-05,-0.0064183996249649895,-0.641839962496499,0.024396056895961582,2.439605689596158,-0.26309168126376453,0.4857496902106567,-0.08579975253846006,-2.54698397816071e-05,-0.254698397816071,-0.8154629624987414,0.41488760606067476
oos,timing_rONFH,1230,1230,1.0,1.3447581759441017e-05,0.003388790603379136,0.3388790603379136,0.02010007731677491,2.010007731677491,0.16859589890984922,0.5032520325203252,-0.061857019041008376,1.3447581759441017e-05,0.13447581759441019,0.37247685487346927,0.7096020621857364
oos,timing_agree_ONFH_ROD,1230,965,0.7845528455284553,2.3520164121274386e-06,0.0005927081358561145,0.059270813585611454,0.018084258552789088,1.8084258552789088,0.03277480987821326,0.3878048780487805,-0.059050405260968386,2.3520164121274386e-06,0.023520164121274386,0.07240898611086925,0.9422882154103462
oos,timing_rROD,1230,1230,1.0,-9.608138757686075e-06,-0.002421250966936891,-0.2421250966936891,0.020100632667022406,2.0100632667022404,-0.12045645562735222,0.4796747967479675,-0.057812756640355345,-9.608138757686075e-06,-0.09608138757686074,-0.26612297233441573,0.7901891411194644
oos,always_long,1230,1230,1.0,-4.543070280766514e-06,-0.0011448537107531616,-0.11448537107531616,0.020101082330957133,2.010108233095713,-0.056954829192953624,0.4991869918699187,-0.0631154538312616,-4.543070280766514e-06,-0.045430702807665146,-0.12582960667976065,0.8998873855361056
