pipeline_version,spec,training_method,training_description,strict_replication_end,test_start,test_end,n_test,first_training_cutoff_date,last_training_cutoff_date,mspe_model,mspe_benchmark,r2_oos,r2_oos_x100,forecast_strategy_sharpe,forecast_strategy_return_basis
boundary_corrected_v1,eq5_onfh,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1213,2020-05-01,2025-12-30,1.877126006886254e-05,1.8771048619507783e-05,-1.1264653299036809e-05,-0.0011264653299036809,-0.43294600027442226,r_LH_executable
boundary_corrected_v1,eq5_onfh,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1213,2020-05-01,2020-05-01,1.8877609417065543e-05,1.8894425439313806e-05,0.0008899991324040624,0.08899991324040624,-0.6009329538265709,r_LH_executable
boundary_corrected_v1,eq6_onfh_m_slh,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1213,2020-05-01,2025-12-30,2.2294193111879444e-05,1.8771048619507783e-05,-0.18769033972402793,-18.769033972402795,0.11891846130067829,r_LH_executable
boundary_corrected_v1,eq6_onfh_m_slh,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1213,2020-05-01,2020-05-01,2.326080740708e-05,1.8894425439313806e-05,-0.23109366208516846,-23.109366208516846,0.2107860376971533,r_LH_executable
boundary_corrected_v1,eq7_rod,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1213,2020-05-01,2025-12-30,1.9225410809569318e-05,1.8771048619507783e-05,-0.02420547723632982,-2.420547723632982,-0.33788877146217394,r_LH_executable
boundary_corrected_v1,eq7_rod,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1213,2020-05-01,2020-05-01,1.9478318421693075e-05,1.8894425439313806e-05,-0.030902923418055117,-3.0902923418055117,-0.2623600544295871,r_LH_executable
