pipeline_version,spec,training_method,training_description,strict_replication_end,test_start,test_end,n_test,first_training_cutoff_date,last_training_cutoff_date,mspe_model,mspe_benchmark,r2_oos,r2_oos_x100,forecast_strategy_sharpe,forecast_strategy_return_basis
boundary_corrected_v1,eq5_onfh,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1224,2020-05-01,2025-12-30,9.647674721725832e-06,9.260285685555185e-06,-0.041833378507417196,-4.18333785074172,-0.8615762645419713,r_LH_executable
boundary_corrected_v1,eq5_onfh,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1224,2020-05-01,2020-05-01,9.942223260512537e-06,9.257181134442978e-06,-0.07400115824899856,-7.4001158248998555,-0.9703766329059473,r_LH_executable
boundary_corrected_v1,eq6_onfh_m_slh,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1224,2020-05-01,2025-12-30,9.51037946222386e-06,9.260285685555185e-06,-0.02700713403030197,-2.700713403030197,0.16013082736583223,r_LH_executable
boundary_corrected_v1,eq6_onfh_m_slh,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1224,2020-05-01,2020-05-01,9.788636997975399e-06,9.257181134442978e-06,-0.05741011824377562,-5.741011824377562,0.026603384025802278,r_LH_executable
boundary_corrected_v1,eq7_rod,expanding,Re-estimate each prediction day using strict replication sample plus prior OOS observations,2020-05-01,2021-01-05,2025-12-31,1224,2020-05-01,2025-12-30,9.514706098356377e-06,9.260285685555185e-06,-0.02747435893884509,-2.747435893884509,-0.20336435894685798,r_LH_executable
boundary_corrected_v1,eq7_rod,frozen_2020,Estimate once using strict replication sample through 2020-05-01; hold fixed through OOS,2020-05-01,2021-01-05,2025-12-31,1224,2020-05-01,2020-05-01,9.695732203249767e-06,9.257181134442978e-06,-0.04737414796552719,-4.737414796552719,-0.11104724262317801,r_LH_executable
