sample,strategy,nobs,trade_count,trade_rate,avg_daily,avg_ann,avg_ann_pct,vol_ann,vol_ann_pct,sharpe,success_rate,max_drawdown,avg_trade_return,avg_trade_return_bp,t_stat_mean,p_value_mean,year
replication,timing_rONFH,143,143,1.0,9.308372887505823e-05,0.023457099676514673,2.345709967651467,0.02538802073532687,2.538802073532687,0.9239436158122653,0.5244755244755245,-0.020788954810508797,9.308372887505823e-05,0.9308372887505822,0.6960063746732871,0.48756244371981294,2010
replication,timing_agree_ONFH_ROD,143,108,0.7552447552447552,-3.4475750335078464e-05,-0.008687889084439774,-0.8687889084439774,0.02405346994734771,2.405346994734771,-0.3611906765825176,0.3706293706293706,-0.023832206294587932,-3.4475750335078464e-05,-0.34475750335078464,-0.27208479940952324,0.7859520284562553,2010
replication,timing_rROD,143,143,1.0,-0.00016203522954521515,-0.040832877845394216,-4.083287784539421,0.02529995037329074,2.529995037329074,-1.6139509067378113,0.45454545454545453,-0.03848858239096875,-0.00016203522954521515,-1.6203522954521516,-1.215788604710154,0.22608279373218587,2010
replication,always_long,143,143,1.0,-2.329400142361496e-05,-0.00587008835875097,-0.587008835875097,0.025428581300464385,2.5428581300464383,-0.2308460817923715,0.4405594405594406,-0.018026847683911496,-2.329400142361496e-05,-0.2329400142361496,-0.17389626568780575,0.862194649717972,2010
replication,timing_rONFH,245,245,1.0,0.00012755485305958444,0.03214382297101528,3.214382297101528,0.035630418574436475,3.5630418574436473,0.9021455334256808,0.5102040816326531,-0.032656731771597,0.00012755485305958444,1.2755485305958445,0.8895274919522149,0.3745958074351885,2011
replication,timing_agree_ONFH_ROD,245,194,0.7918367346938775,5.3304980709802304e-05,0.013432855138870181,1.3432855138870181,0.03130573084250275,3.1305730842502753,0.42908613782090144,0.3836734693877551,-0.03069114281351748,5.3304980709802304e-05,0.5330498070980231,0.42308463752842185,0.6726061620026109,2011
replication,timing_rROD,245,245,1.0,-1.4085888656951843e-05,-0.003549643941551864,-0.35496439415518644,0.03568744075006676,3.568744075006676,-0.0994647939708376,0.46938775510204084,-0.03394212304182587,-1.4085888656951843e-05,-0.14085888656951842,-0.09807360945684017,0.9219543597764923,2011
replication,always_long,245,245,1.0,-0.00010389124807748707,-0.02618059451552674,-2.618059451552674,0.035649860451111105,3.5649860451111106,-0.7343814024582181,0.5265306122448979,-0.07515152485516519,-0.00010389124807748707,-1.0389124807748706,-0.7241098280279015,0.46969200913101794,2011
replication,timing_rONFH,241,241,1.0,2.962900151038945e-05,0.007466508380618141,0.7466508380618141,0.031043070947987184,3.1043070947987186,0.24052093277525,0.5020746887966805,-0.019173262337904284,2.962900151038945e-05,0.2962900151038945,0.23521289667294049,0.8142440665692117,2012
replication,timing_agree_ONFH_ROD,241,180,0.7468879668049793,0.00013895259004927194,0.03501605269241653,3.5016052692416535,0.02682878783078639,2.682878783078639,1.3051671552687576,0.38589211618257263,-0.008598878229423845,0.00013895259004927194,1.3895259004927194,1.2763635318178672,0.20306075558184733,2012
