sample,strategy,strategy_price_type,return_basis,round_trip_ticks,nobs,trade_count,trade_rate,avg_daily,avg_ann,avg_ann_pct,vol_ann,vol_ann_pct,sharpe,success_rate,max_drawdown,avg_trade_return,avg_trade_return_bp,t_stat_mean,p_value_mean
replication,timing_rONFH,paper_statistical,r_LH,0,2424,2424,1.0,0.00015086657988536582,0.03801837813111218,3.8018378131112183,0.05118109718255239,5.118109718255239,0.7428206940446878,0.5173267326732673,-0.07711279668903015,0.00015086657988536582,1.5086657988536583,2.3038278898514846,0.021316556698760758
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,2424,1779,0.7339108910891089,0.00016866851012441978,0.04250446455135378,4.250446455135378,0.04522824156694311,4.522824156694312,0.9397770746501868,0.3787128712871287,-0.0542857033498374,0.00016866851012441978,1.6866851012441977,2.914680019256289,0.0035931849997825616
replication,timing_rROD,paper_statistical,r_LH,0,2424,2424,1.0,0.00017989570915830002,0.0453337187078916,4.533371870789161,0.051157443949075204,5.11574439490752,0.8861607462839456,0.5004125412541254,-0.06741070358503043,0.00017989570915830002,1.7989570915830002,2.7483911777742422,0.0060332370543196845
replication,always_long,paper_statistical,r_LH,0,2424,2424,1.0,-2.738424769452402e-05,-0.006900830419020053,-0.6900830419020053,0.051235278145439836,5.1235278145439835,-0.13468903983366504,0.5086633663366337,-0.15780983309367336,-2.738424769452402e-05,-0.2738424769452402,-0.4177325280701556,0.6761797004726455
replication,timing_rONFH,paper_statistical,r_LH,1,2424,2424,1.0,8.438481797839256e-05,0.021264974130554927,2.1264974130554926,0.051199706762163635,5.119970676216363,0.41533390472989296,0.5074257425742574,-0.08181219392189032,8.438481797839256e-05,0.8438481797839257,1.2881410560972908,0.1978198636789037
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,1,2424,1779,0.7339108910891089,0.00012033336831954636,0.030324008816525683,3.0324008816525683,0.04522998348039453,4.522998348039453,0.6704404132641344,0.37334983498349833,-0.05836781701284954,0.00012033336831954636,1.2033336831954635,2.0793434202151437,0.037690730137356576
replication,timing_rROD,paper_statistical,r_LH,1,2424,2424,1.0,0.00011341394725132682,0.02858031470733436,2.858031470733436,0.0511704032027591,5.11704032027591,0.5585321380815955,0.49257425742574257,-0.10010657707939297,0.00011341394725132682,1.1341394725132683,1.7322644985619489,0.08335373598527007
replication,always_long,paper_statistical,r_LH,1,2424,2424,1.0,-9.386600960149725e-05,-0.023654234419577307,-2.3654234419577307,0.051234065141669616,5.123406514166962,-0.4616895878585843,0.5033003300330033,-0.26458036954634,-9.386600960149725e-05,-0.9386600960149725,-1.4319113044239646,0.1522981864787747
replication,timing_rONFH,paper_statistical,r_LH,2,2424,2424,1.0,1.7903056071419346e-05,0.004511570129997675,0.4511570129997675,0.05122252361453987,5.122252361453987,0.08807785738844454,0.48803630363036304,-0.19244299652647956,1.7903056071419346e-05,0.17903056071419346,0.2731698591014924,0.7847459283262497
replication,timing_agree_ONFH_ROD,paper_statistical,r_LH,2,2424,1779,0.7339108910891089,7.199822651467286e-05,0.01814355308169756,1.814355308169756,0.04523987082492727,4.523987082492726,0.4010522742629147,0.3580858085808581,-0.11495544147493442,7.199822651467286e-05,0.7199822651467286,1.2438471654637084,0.2136761384934358
