spec,pipeline_version,predictor,nobs,nw_lags,beta_replication,beta_replication_x100,beta_oos_minus_replication,beta_oos_minus_replication_x100,beta_oos_implied,beta_oos_implied_x100,difference_se_hac,difference_t_hac,difference_p_hac,difference_ci_low,difference_ci_high,symbol
eq5_onfh,boundary_corrected_v1,r_ONFH,3648,8,0.0744736788418561,7.447367884185612,-0.1021905269788583,-10.219052697885836,-0.0277168481370022,-2.771684813700225,0.0398958765003338,-2.5614308029553663,0.0104641035975624,-0.1804109890471864,-0.0239700649105303,ES.v.0
eq6_onfh_m_slh,boundary_corrected_v1,r_ONFH,3648,8,0.0701755542482519,7.017555424825195,-0.0984531505895257,-9.845315058952576,-0.0282775963412738,-2.827759634127383,0.0381086925249911,-2.58348277167897,0.0098194768519022,-0.1731696598628422,-0.0237366413162092,ES.v.0
eq6_onfh_m_slh,boundary_corrected_v1,r_M,3648,8,0.0410707433707564,4.107074337075643,-0.0389984991291815,-3.8998499129181545,0.0020722442415748,0.2072244241574879,0.0278937297729021,-1.3981098779793617,0.1621652556826547,-0.0936873898036042,0.0156903915452411,ES.v.0
eq6_onfh_m_slh,boundary_corrected_v1,r_SLH,3648,8,0.1245344536409757,12.453445364097576,0.0429319535581463,4.293195355814631,0.1674664071991221,16.746640719912207,0.1024886122777829,0.418894866502675,0.6753176848092437,-0.158008851341958,0.2438727584582506,ES.v.0
eq7_rod,boundary_corrected_v1,r_ROD,3648,8,0.0613730855781798,6.13730855781798,-0.0626170998798172,-6.261709987981728,-0.0012440143016374,-0.124401430163748,0.025318883463711,-2.4731382791648353,0.0134385125550194,-0.1122576877628545,-0.01297651199678,ES.v.0
eq5_onfh,boundary_corrected_v1,r_ONFH,3648,8,0.0696747097135517,6.967470971355174,-0.0900676170559751,-9.00676170559751,-0.0203929073424233,-2.039290734242337,0.0415390623017627,-2.168263125481121,0.0302031809368171,-0.1715097341906057,-0.0086254999213445,NQ.v.0
eq6_onfh_m_slh,boundary_corrected_v1,r_ONFH,3648,8,0.0672510467518984,6.72510467518984,-0.0898920421498959,-8.989204214989597,-0.0226409953979975,-2.2640995397997576,0.0404058045370028,-2.224730906362092,0.0261603903067176,-0.1691123058050971,-0.0106717784946948,NQ.v.0
eq6_onfh_m_slh,boundary_corrected_v1,r_M,3648,8,0.0195320551028203,1.9532055102820376,-0.0147153399283778,-1.471533992837788,0.0048167151744424,0.4816715174442498,0.0194333428497715,-0.7572212378556817,0.4489663406257496,-0.0528166613078584,0.0233859814511026,NQ.v.0
eq6_onfh_m_slh,boundary_corrected_v1,r_SLH,3648,8,0.1120361442279809,11.203614422798095,0.0441159348023145,4.4115934802314545,0.1561520790302955,15.61520790302955,0.0960868816909105,0.4591254708860818,0.646171481793431,-0.1442735351905202,0.2325054047951492,NQ.v.0
eq7_rod,boundary_corrected_v1,r_ROD,3648,8,0.0488564548303761,4.885645483037612,-0.0473514587436797,-4.735145874367974,0.0015049960866963,0.150499608669638,0.0235633701775925,-2.0095367677374196,0.044553833641536,-0.093550160586035,-0.0011527569013244,NQ.v.0
eq5_onfh,boundary_corrected_v1,r_ONFH,3622,8,0.0251740764656593,2.5174076465659314,-0.0184277216334888,-1.8427721633488805,0.0067463548321705,0.6746354832170509,0.0096039501291472,-1.918764819234332,0.0550927011841879,-0.0372574172410337,0.0004019739740561,GC.v.0
eq6_onfh_m_slh,boundary_corrected_v1,r_ONFH,3622,8,0.0246751397523736,2.4675139752373685,-0.0180160347891297,-1.801603478912977,0.0066591049632439,0.6659104963243914,0.0095213650357407,-1.8921693183175183,0.058548283652643,-0.0366838193346235,0.0006517497563639,GC.v.0
eq6_onfh_m_slh,boundary_corrected_v1,r_M,3622,8,0.01714981262645,1.7149812626450038,-0.0122475030979732,-1.2247503097973245,0.0049023095284767,0.4902309528476794,0.0112512071295646,-1.0885501401703486,0.2764248984012339,-0.0343068517084948,0.0098118455125484,GC.v.0
eq6_onfh_m_slh,boundary_corrected_v1,r_SLH,3622,8,0.1038867016638058,10.388670166380583,-0.1652918079077667,-16.529180790776675,-0.0614051062439608,-6.140510624396088,0.0533164448928588,-3.1002031031875052,0.0019487706139387,-0.2698251287347158,-0.0607584870808176,GC.v.0
eq7_rod,boundary_corrected_v1,r_ROD,3622,8,0.024080689431178,2.408068943117801,-0.0189194996913307,-1.891949969133075,0.0051611897398472,0.516118973984726,0.007631061449204,-2.4792749760000983,0.0132102005843561,-0.0338811105200764,-0.003957888862585,GC.v.0
eq5_onfh,boundary_corrected_v1,r_ONFH,3558,8,-0.0195515465352297,-1.955154653522978,0.0115783173099884,1.1578317309988455,-0.0079732292252413,-0.7973229225241326,0.0630918461497222,0.1835152720450142,0.8544042055645992,-0.1121215563490134,0.1352781909689903,CL.v.0
eq6_onfh_m_slh,boundary_corrected_v1,r_ONFH,3558,8,0.013197329759026,1.3197329759026073,-0.0210466751192492,-2.104667511924925,-0.0078493453602231,-0.7849345360223177,0.0345766872034075,-0.6086955350995888,0.5427652126051619,-0.0888388502012808,0.0467454999627823,CL.v.0
eq6_onfh_m_slh,boundary_corrected_v1,r_M,3558,8,-0.0236205054514879,-2.362050545148797,0.0307808356576455,3.0780835657645533,0.0071603302061575,0.7160330206157562,0.0431564223530645,0.7132388177552399,0.4757448714529867,-0.0538330466053356,0.1153947179206267,CL.v.0
eq6_onfh_m_slh,boundary_corrected_v1,r_SLH,3558,8,-0.5360363172995469,-53.60363172995469,0.5422177857576137,54.22177857576137,0.0061814684580667,0.6181468458066774,0.2282109944324132,2.375949445845811,0.0175566306353925,0.0947799037189304,0.989655667796297,CL.v.0
eq7_rod,boundary_corrected_v1,r_ROD,3558,8,-0.0388500801712052,-3.885008017120528,0.0372699935924867,3.72699935924867,-0.0015800865787185,-0.1580086578718581,0.0658771843533381,0.5657496439523849,0.5715996983634841,-0.0918909024475571,0.1664308896325305,CL.v.0
