pipeline_version,sample,sample_scope,spec,predictors,start,end,nobs,nw_lags,alpha,alpha_se_hac,alpha_t_hac,alpha_p_hac,alpha_ci_low,alpha_ci_high,r2,r2_x100,adj_r2,adj_r2_x100,beta_r_ONFH,beta_r_ONFH_x100,beta_r_ONFH_se_hac,beta_r_ONFH_t_hac,beta_r_ONFH_p_hac,beta_r_ONFH_ci_low,beta_r_ONFH_ci_high,beta_r_M,beta_r_M_x100,beta_r_M_se_hac,beta_r_M_t_hac,beta_r_M_p_hac,beta_r_M_ci_low,beta_r_M_ci_high,beta_r_SLH,beta_r_SLH_x100,beta_r_SLH_se_hac,beta_r_SLH_t_hac,beta_r_SLH_p_hac,beta_r_SLH_ci_low,beta_r_SLH_ci_high,beta_r_ROD,beta_r_ROD_x100,beta_r_ROD_se_hac,beta_r_ROD_t_hac,beta_r_ROD_p_hac,beta_r_ROD_ci_low,beta_r_ROD_ci_high,common_valid_nobs
boundary_corrected_v1,replication,equation_available,eq5_onfh,r_ONFH,2010-06-08,2020-05-01,2379,8,-1.66634362585235e-05,1.4172332787686752e-05,-1.1757722957931864,0.23980362803053593,-4.445484932028591e-05,1.1127976803238908e-05,0.0031558729861604906,0.31558729861604906,0.002736502297471355,0.2736502297471355,0.015483473721904409,1.5483473721904408,0.008284015822762295,1.8690782409371913,0.06173481568481219,-0.0007611706136129472,0.03172811805742176,,,,,,,,,,,,,,,,,,,,,,
boundary_corrected_v1,replication,equation_available,eq6_onfh_m_slh,r_ONFH+r_M+r_SLH,2010-06-08,2020-05-01,2379,8,-1.761700471512797e-05,1.3854839517603321e-05,-1.2715415932999163,0.20366054448955714,-4.478583703756746e-05,9.551827607311516e-06,0.021234174847647003,2.1234174847647003,0.01999783906850716,1.9997839068507162,0.017250423678855646,1.7250423678855646,0.008484976928156874,2.03305487155907,0.04215798079544069,0.0006116950145528301,0.033889152343158466,0.01556661573971541,1.556661573971541,0.009995531912161081,1.557357414944197,0.1195188864917068,-0.004034255865477631,0.035167487344908446,0.11378698948785282,11.378698948785281,0.04504973699844385,2.525808075012366,0.011607787086830761,0.02544610693012804,0.20212787204557758,,,,,,,,
boundary_corrected_v1,replication,equation_available,eq7_rod,r_ROD,2010-06-08,2020-05-01,2379,8,-1.8729520193394155e-05,1.4104507464420156e-05,-1.3279102613572997,0.18433525200168185,-4.638793034002694e-05,8.928889953238629e-06,0.009845752148104014,0.9845752148104014,0.009429195880602093,0.9429195880602093,,,,,,,,,,,,,,,,,,,,,,0.020373042404942525,2.0373042404942523,0.006294889856921111,3.236441441869353,0.001226929799015574,0.008028999486052818,0.03271708532383223,
boundary_corrected_v1,replication,common_valid_all_eq5_eq6_eq7,eq5_onfh,r_ONFH,2010-06-08,2020-05-01,2379,8,-1.66634362585235e-05,1.4172332787686752e-05,-1.1757722957931864,0.23980362803053593,-4.445484932028591e-05,1.1127976803238908e-05,0.0031558729861604906,0.31558729861604906,0.002736502297471355,0.2736502297471355,0.015483473721904409,1.5483473721904408,0.008284015822762295,1.8690782409371913,0.06173481568481219,-0.0007611706136129472,0.03172811805742176,,,,,,,,,,,,,,,,,,,,,,2379.0
boundary_corrected_v1,replication,common_valid_all_eq5_eq6_eq7,eq6_onfh_m_slh,r_ONFH+r_M+r_SLH,2010-06-08,2020-05-01,2379,8,-1.761700471512797e-05,1.3854839517603321e-05,-1.2715415932999163,0.20366054448955714,-4.478583703756746e-05,9.551827607311516e-06,0.021234174847647003,2.1234174847647003,0.01999783906850716,1.9997839068507162,0.017250423678855646,1.7250423678855646,0.008484976928156874,2.03305487155907,0.04215798079544069,0.0006116950145528301,0.033889152343158466,0.01556661573971541,1.556661573971541,0.009995531912161081,1.557357414944197,0.1195188864917068,-0.004034255865477631,0.035167487344908446,0.11378698948785282,11.378698948785281,0.04504973699844385,2.525808075012366,0.011607787086830761,0.02544610693012804,0.20212787204557758,,,,,,,,2379.0
boundary_corrected_v1,replication,common_valid_all_eq5_eq6_eq7,eq7_rod,r_ROD,2010-06-08,2020-05-01,2379,8,-1.8729520193394155e-05,1.4104507464420156e-05,-1.3279102613572997,0.18433525200168185,-4.638793034002694e-05,8.928889953238629e-06,0.009845752148104014,0.9845752148104014,0.009429195880602093,0.9429195880602093,,,,,,,,,,,,,,,,,,,,,,0.020373042404942525,2.0373042404942523,0.006294889856921111,3.236441441869353,0.001226929799015574,0.008028999486052818,0.03271708532383223,2379.0
boundary_corrected_v1,oos,equation_available,eq5_onfh,r_ONFH,2021-01-05,2025-12-31,1221,6,-1.2956161224705626e-05,1.9466979804005087e-05,-0.6655455214496118,0.505827546388099,-5.11486618276602e-05,2.5236339378248947e-05,0.018659896075537086,1.8659896075537086,0.017854859074778684,1.7854859074778684,0.03068979476582037,3.0689794765820366,0.007365078742483901,4.166933693294108,3.305079314816215e-05,0.01624015865661496,0.045139430875025775,,,,,,,,,,,,,,,,,,,,,,
boundary_corrected_v1,oos,equation_available,eq6_onfh_m_slh,r_ONFH+r_M+r_SLH,2021-01-05,2025-12-31,1221,6,-1.4131586935785117e-05,1.960261154706874e-05,-0.7209032787214658,0.4711074789308062,-5.2590247893197326e-05,2.4327074021627094e-05,0.03163719812648347,3.163719812648347,0.029250108228685123,2.9250108228685123,0.03084677290356475,3.084677290356475,0.007271979848570326,4.241867214418813,2.384686072039051e-05,0.016579765325836146,0.04511378048129335,0.0263429552358492,2.6342955235849197,0.00759180325033857,3.469920698310298,0.0005388256744598587,0.011448481274607507,0.04123742919709089,-0.05926298503223793,-5.926298503223793,0.07578704061453491,-0.7819672671170658,0.43438591713394614,-0.20795072967082767,0.08942475960635182,,,,,,,,
boundary_corrected_v1,oos,equation_available,eq7_rod,r_ROD,2021-01-05,2025-12-31,1221,6,-1.065170407511218e-05,1.9502685339858713e-05,-0.5461660222422143,0.5850517607612139,-4.8914255796080335e-05,2.7610847645855973e-05,0.024134006399811225,2.4134006399811225,0.023333460055594446,2.3333460055594446,,,,,,,,,,,,,,,,,,,,,,0.026884540377071425,2.6884540377071424,0.005288448546290822,5.083634669363954,4.282295055615881e-07,0.01650906989698433,0.03726001085715852,
boundary_corrected_v1,oos,common_valid_all_eq5_eq6_eq7,eq5_onfh,r_ONFH,2021-01-05,2025-12-31,1221,6,-1.2956161224705626e-05,1.9466979804005087e-05,-0.6655455214496118,0.505827546388099,-5.11486618276602e-05,2.5236339378248947e-05,0.018659896075537086,1.8659896075537086,0.017854859074778684,1.7854859074778684,0.03068979476582037,3.0689794765820366,0.007365078742483901,4.166933693294108,3.305079314816215e-05,0.01624015865661496,0.045139430875025775,,,,,,,,,,,,,,,,,,,,,,1221.0
boundary_corrected_v1,oos,common_valid_all_eq5_eq6_eq7,eq6_onfh_m_slh,r_ONFH+r_M+r_SLH,2021-01-05,2025-12-31,1221,6,-1.4131586935785117e-05,1.960261154706874e-05,-0.7209032787214658,0.4711074789308062,-5.2590247893197326e-05,2.4327074021627094e-05,0.03163719812648347,3.163719812648347,0.029250108228685123,2.9250108228685123,0.03084677290356475,3.084677290356475,0.007271979848570326,4.241867214418813,2.384686072039051e-05,0.016579765325836146,0.04511378048129335,0.0263429552358492,2.6342955235849197,0.00759180325033857,3.469920698310298,0.0005388256744598587,0.011448481274607507,0.04123742919709089,-0.05926298503223793,-5.926298503223793,0.07578704061453491,-0.7819672671170658,0.43438591713394614,-0.20795072967082767,0.08942475960635182,,,,,,,,1221.0
boundary_corrected_v1,oos,common_valid_all_eq5_eq6_eq7,eq7_rod,r_ROD,2021-01-05,2025-12-31,1221,6,-1.065170407511218e-05,1.9502685339858713e-05,-0.5461660222422143,0.5850517607612139,-4.8914255796080335e-05,2.7610847645855973e-05,0.024134006399811225,2.4134006399811225,0.023333460055594446,2.3333460055594446,,,,,,,,,,,,,,,,,,,,,,0.026884540377071425,2.6884540377071424,0.005288448546290822,5.083634669363954,4.282295055615881e-07,0.01650906989698433,0.03726001085715852,1221.0
