spec,train_start,train_end,test_start,test_end,n_train,n_test,benchmark,benchmark_mean,sse_model,sse_benchmark,r2_oos,r2_oos_x100
eq5_onfh,2010-06-08,2020-05-28,2021-01-05,2025-12-31,2421,1230,replication_mean_r_LH,-2.54698397816071e-05,0.001980747043451002,0.0019711012125025974,-0.004893625394384538,-0.48936253943845376
eq6_onfh_m_slh,2010-06-08,2020-05-28,2021-01-05,2025-12-31,2421,1230,replication_mean_r_LH,-2.54698397816071e-05,0.002003352818246546,0.0019711012125025974,-0.01636222713444546,-1.6362227134445462
eq7_rod,2010-06-08,2020-05-28,2021-01-05,2025-12-31,2421,1230,replication_mean_r_LH,-2.54698397816071e-05,0.001984901763760746,0.0019711012125025974,-0.007001442224586096,-0.7001442224586096
