pipeline_version,sample,sample_scope,spec,predictors,start,end,nobs,nw_lags,alpha,alpha_se_hac,alpha_t_hac,alpha_p_hac,alpha_ci_low,alpha_ci_high,r2,r2_x100,adj_r2,adj_r2_x100,beta_r_ONFH,beta_r_ONFH_x100,beta_r_ONFH_se_hac,beta_r_ONFH_t_hac,beta_r_ONFH_p_hac,beta_r_ONFH_ci_low,beta_r_ONFH_ci_high,beta_r_M,beta_r_M_x100,beta_r_M_se_hac,beta_r_M_t_hac,beta_r_M_p_hac,beta_r_M_ci_low,beta_r_M_ci_high,beta_r_SLH,beta_r_SLH_x100,beta_r_SLH_se_hac,beta_r_SLH_t_hac,beta_r_SLH_p_hac,beta_r_SLH_ci_low,beta_r_SLH_ci_high,beta_r_ROD,beta_r_ROD_x100,beta_r_ROD_se_hac,beta_r_ROD_t_hac,beta_r_ROD_p_hac,beta_r_ROD_ci_low,beta_r_ROD_ci_high,common_valid_nobs
boundary_corrected_v1,replication,equation_available,eq5_onfh,r_ONFH,2010-06-08,2020-05-01,2398,8,2.742314730137382e-06,1.977577578229949e-05,0.13867039960029878,0.8897222631033943,-3.6037083222557136e-05,4.1521712682831896e-05,0.00036196430162649396,0.036196430162649396,-5.524689858171783e-05,-0.005524689858171783,0.0044460953957582644,0.44460953957582644,0.005613999051372014,0.7919658259777718,0.4284590014840922,-0.006562701716214766,0.015454892507731296,,,,,,,,,,,,,,,,,,,,,,
boundary_corrected_v1,replication,equation_available,eq6_onfh_m_slh,r_ONFH+r_M+r_SLH,2010-06-08,2020-05-01,2398,8,1.254152682700148e-05,1.9587188576150603e-05,0.6402923409984456,0.5220438348241869,-2.5868076399023233e-05,5.095113005302619e-05,0.031093464770697077,3.1093464770697077,0.029879296180184145,2.9879296180184145,0.00904886820954034,0.9048868209540339,0.006269358072082004,1.4433484426157976,0.149053174540793,-0.003245063361820944,0.021342799780901624,0.0053726231011239235,0.5372623101123923,0.007652773920709868,0.7020491075248648,0.48271678625692915,-0.009634125250236589,0.020379371452484436,-0.18125274975385805,-18.125274975385803,0.07566761973991952,-2.3953806182466133,0.016679509741586943,-0.3296335773529152,-0.03287192215480092,,,,,,,,
boundary_corrected_v1,replication,equation_available,eq7_rod,r_ROD,2010-06-08,2020-05-01,2398,8,1.961767748038344e-06,1.9686744182465292e-05,0.09964917153673704,0.9206311912414329,-3.664304328182982e-05,4.056657877790651e-05,5.7200594906658964e-05,0.005720059490665896,-0.000360137802174032,-0.0360137802174032,,,,,,,,,,,,,,,,,,,,,,-0.0012900491567603613,-0.12900491567603614,0.004648249609188225,-0.2775343979398853,0.7813937404309992,-0.010405055483819712,0.007824957170298989,
boundary_corrected_v1,replication,common_valid_all_eq5_eq6_eq7,eq5_onfh,r_ONFH,2010-06-08,2020-05-01,2398,8,2.742314730137382e-06,1.977577578229949e-05,0.13867039960029878,0.8897222631033943,-3.6037083222557136e-05,4.1521712682831896e-05,0.00036196430162649396,0.036196430162649396,-5.524689858171783e-05,-0.005524689858171783,0.0044460953957582644,0.44460953957582644,0.005613999051372014,0.7919658259777718,0.4284590014840922,-0.006562701716214766,0.015454892507731296,,,,,,,,,,,,,,,,,,,,,,2398.0
boundary_corrected_v1,replication,common_valid_all_eq5_eq6_eq7,eq6_onfh_m_slh,r_ONFH+r_M+r_SLH,2010-06-08,2020-05-01,2398,8,1.254152682700148e-05,1.9587188576150603e-05,0.6402923409984456,0.5220438348241869,-2.5868076399023233e-05,5.095113005302619e-05,0.031093464770697077,3.1093464770697077,0.029879296180184145,2.9879296180184145,0.00904886820954034,0.9048868209540339,0.006269358072082004,1.4433484426157976,0.149053174540793,-0.003245063361820944,0.021342799780901624,0.0053726231011239235,0.5372623101123923,0.007652773920709868,0.7020491075248648,0.48271678625692915,-0.009634125250236589,0.020379371452484436,-0.18125274975385805,-18.125274975385803,0.07566761973991952,-2.3953806182466133,0.016679509741586943,-0.3296335773529152,-0.03287192215480092,,,,,,,,2398.0
boundary_corrected_v1,replication,common_valid_all_eq5_eq6_eq7,eq7_rod,r_ROD,2010-06-08,2020-05-01,2398,8,1.961767748038344e-06,1.9686744182465292e-05,0.09964917153673704,0.9206311912414329,-3.664304328182982e-05,4.056657877790651e-05,5.7200594906658964e-05,0.005720059490665896,-0.000360137802174032,-0.0360137802174032,,,,,,,,,,,,,,,,,,,,,,-0.0012900491567603613,-0.12900491567603614,0.004648249609188225,-0.2775343979398853,0.7813937404309992,-0.010405055483819712,0.007824957170298989,2398.0
boundary_corrected_v1,oos,equation_available,eq5_onfh,r_ONFH,2021-01-05,2025-12-31,1228,6,-6.578117106604725e-07,1.740986250793604e-05,-0.03778385443082151,0.9698661686948886,-3.4814235452070935e-05,3.3498612030749984e-05,0.0002847468258969643,0.02847468258969643,-0.0005306816024670535,-0.053068160246705354,0.0026414092711244193,0.2641409271124419,0.005508512616399658,0.47951406397083535,0.6316584897136801,-0.008165746214732308,0.013448564756981146,,,,,,,,,,,,,,,,,,,,,,
boundary_corrected_v1,oos,equation_available,eq6_onfh_m_slh,r_ONFH+r_M+r_SLH,2021-01-05,2025-12-31,1228,6,-2.9346062179086874e-07,1.7301128115252445e-05,-0.016961935651592437,0.9864697466941135,-3.4236613075293225e-05,3.364969183171148e-05,0.00494792031017155,0.49479203101715497,0.0025090671736768266,0.25090671736768266,0.004194329525017914,0.41943295250179136,0.005629101860040228,0.7451152296234943,0.4563451096602881,-0.006849427930497073,0.0152380869805329,0.00637213188613696,0.637213188613696,0.005590031672317305,1.1399098000987609,0.2545468935969125,-0.004594973611804403,0.017339237384078325,0.04886736840759438,4.886736840759438,0.0371416357876907,1.3157031824589096,0.18852006234052351,-0.024000955410123856,0.12173569222531262,,,,,,,,
boundary_corrected_v1,oos,equation_available,eq7_rod,r_ROD,2021-01-05,2025-12-31,1228,6,-2.3617981903994535e-07,1.733604172148972e-05,-0.01362363005548016,0.9891324687156416,-3.424777449809363e-05,3.377541486001374e-05,0.0019258158460763175,0.19258158460763175,0.0011117259731937557,0.11117259731937557,,,,,,,,,,,,,,,,,,,,,,0.004974569009954868,0.49745690099548684,0.003929317292261921,1.2660135692659336,0.20574873319038053,-0.002734361855396387,0.012683499875306124,
boundary_corrected_v1,oos,common_valid_all_eq5_eq6_eq7,eq5_onfh,r_ONFH,2021-01-05,2025-12-31,1228,6,-6.578117106604725e-07,1.740986250793604e-05,-0.03778385443082151,0.9698661686948886,-3.4814235452070935e-05,3.3498612030749984e-05,0.0002847468258969643,0.02847468258969643,-0.0005306816024670535,-0.053068160246705354,0.0026414092711244193,0.2641409271124419,0.005508512616399658,0.47951406397083535,0.6316584897136801,-0.008165746214732308,0.013448564756981146,,,,,,,,,,,,,,,,,,,,,,1228.0
boundary_corrected_v1,oos,common_valid_all_eq5_eq6_eq7,eq6_onfh_m_slh,r_ONFH+r_M+r_SLH,2021-01-05,2025-12-31,1228,6,-2.9346062179086874e-07,1.7301128115252445e-05,-0.016961935651592437,0.9864697466941135,-3.4236613075293225e-05,3.364969183171148e-05,0.00494792031017155,0.49479203101715497,0.0025090671736768266,0.25090671736768266,0.004194329525017914,0.41943295250179136,0.005629101860040228,0.7451152296234943,0.4563451096602881,-0.006849427930497073,0.0152380869805329,0.00637213188613696,0.637213188613696,0.005590031672317305,1.1399098000987609,0.2545468935969125,-0.004594973611804403,0.017339237384078325,0.04886736840759438,4.886736840759438,0.0371416357876907,1.3157031824589096,0.18852006234052351,-0.024000955410123856,0.12173569222531262,,,,,,,,1228.0
boundary_corrected_v1,oos,common_valid_all_eq5_eq6_eq7,eq7_rod,r_ROD,2021-01-05,2025-12-31,1228,6,-2.3617981903994535e-07,1.733604172148972e-05,-0.01362363005548016,0.9891324687156416,-3.424777449809363e-05,3.377541486001374e-05,0.0019258158460763175,0.19258158460763175,0.0011117259731937557,0.11117259731937557,,,,,,,,,,,,,,,,,,,,,,0.004974569009954868,0.49745690099548684,0.003929317292261921,1.2660135692659336,0.20574873319038053,-0.002734361855396387,0.012683499875306124,1228.0
