symbol,sample,spec,predictor,beta_x100,nw_se_x100,t,p,adj_r2_x100,n,start,end
ES.v.0,replication,eq5_onfh,ONFH,7.447367884185614,3.67912928103259,2.0242202204146,0.0430570599931895,3.0497812358148635,2424,2010-06-08,2020-05-01
ES.v.0,replication,eq6_onfh_m_slh,ONFH,7.017555424825189,3.48476648065399,2.0137806833783007,0.0441430528810787,4.310385195834455,2424,2010-06-08,2020-05-01
ES.v.0,replication,eq6_onfh_m_slh,M,4.107074337075643,2.2714012411820796,1.8081676907679407,0.0707044962993595,4.310385195834455,2424,2010-06-08,2020-05-01
ES.v.0,replication,eq6_onfh_m_slh,SLH,12.45344536409758,8.264623459873741,1.5068375981750803,0.1319828082682315,4.310385195834455,2424,2010-06-08,2020-05-01
ES.v.0,replication,eq7_rod,ROD,6.137308557817975,2.31682420513999,2.649017799538709,0.008125045347517,4.02080776796293,2424,2010-06-08,2020-05-01
ES.v.0,oos,eq5_onfh,ONFH,-2.771684813700221,1.55014003802745,-1.7880222081271904,0.0740201241015145,0.4791146480163655,1224,2021-01-05,2025-12-31
ES.v.0,oos,eq6_onfh_m_slh,ONFH,-2.8277596341273856,1.55500174862303,-1.8184928966359004,0.0692339368816518,2.140885291533645,1224,2021-01-05,2025-12-31
ES.v.0,oos,eq6_onfh_m_slh,M,0.2072244241574944,1.63677375624719,0.1266054171302331,0.8992735710526765,2.140885291533645,1224,2021-01-05,2025-12-31
ES.v.0,oos,eq6_onfh_m_slh,SLH,16.74664071991223,5.94834758728239,2.8153433326116737,0.0049509026153789,2.140885291533645,1224,2021-01-05,2025-12-31
ES.v.0,oos,eq7_rod,ROD,-0.1244014301637503,1.0496509431949101,-0.1185169517259693,0.9056775425684362,-0.079398356274507,1224,2021-01-05,2025-12-31
NQ.v.0,replication,eq5_onfh,ONFH,6.967470971355175,3.9735997327891,1.7534405677203535,0.0796529011622933,2.8154183656140974,2424,2010-06-08,2020-05-01
NQ.v.0,replication,eq6_onfh_m_slh,ONFH,6.725104675189837,3.84979731111873,1.7468724017669262,0.0807863306979957,3.5153550505965026,2424,2010-06-08,2020-05-01
NQ.v.0,replication,eq6_onfh_m_slh,M,1.9532055102820376,1.32219731762438,1.4772420759341744,0.139740878666266,3.5153550505965026,2424,2010-06-08,2020-05-01
NQ.v.0,replication,eq6_onfh_m_slh,SLH,11.203614422798108,7.55961898839836,1.4820342718319712,0.1384613735390765,3.5153550505965026,2424,2010-06-08,2020-05-01
NQ.v.0,replication,eq7_rod,ROD,4.885645483037616,2.18582478924558,2.2351496364554677,0.0254983578413727,2.855230941533049,2424,2010-06-08,2020-05-01
NQ.v.0,oos,eq5_onfh,ONFH,-2.0392907342423285,1.22211865844133,-1.6686519923058905,0.0954425346352506,0.3184007100564101,1224,2021-01-05,2025-12-31
NQ.v.0,oos,eq6_onfh_m_slh,ONFH,-2.2640995397997417,1.24062448940149,-1.8249676345595855,0.0682503409630603,2.012474355381011,1224,2021-01-05,2025-12-31
NQ.v.0,oos,eq6_onfh_m_slh,M,0.4816715174442554,1.4337008721359699,0.3359637472540885,0.736955974177121,2.012474355381011,1224,2021-01-05,2025-12-31
NQ.v.0,oos,eq6_onfh_m_slh,SLH,15.615207903029576,5.82198513612782,2.6821105753312144,0.0074147084449184,2.012474355381011,1224,2021-01-05,2025-12-31
NQ.v.0,oos,eq7_rod,ROD,0.1504996086696455,0.8944120262565299,0.1682665306945233,0.8664014474888191,-0.0770374997377532,1224,2021-01-05,2025-12-31
GC.v.0,replication,eq5_onfh,ONFH,2.5174076465659296,0.71671462169313,3.5124268019242004,0.0004522566826438,1.5353856284003875,2396,2010-06-08,2020-05-01
GC.v.0,replication,eq6_onfh_m_slh,ONFH,2.467513975237373,0.70807308419113,3.4848295046493947,0.0005013109006203,2.7898934784362117,2396,2010-06-08,2020-05-01
GC.v.0,replication,eq6_onfh_m_slh,M,1.7149812626449523,0.8236032534425499,2.082290539135871,0.0374219770690434,2.7898934784362117,2396,2010-06-08,2020-05-01
GC.v.0,replication,eq6_onfh_m_slh,SLH,10.388670166380546,3.76759536881143,2.757374173558838,0.005871026455775,2.7898934784362117,2396,2010-06-08,2020-05-01
GC.v.0,replication,eq7_rod,ROD,2.4080689431177955,0.5371968862129299,4.482656182342921,7.71927507339606e-06,2.245263504500128,2396,2010-06-08,2020-05-01
GC.v.0,oos,eq5_onfh,ONFH,0.6746354832170504,0.63153044352465,1.0682548880016247,0.2856161867207384,0.1036347562239914,1226,2021-01-05,2025-12-31
GC.v.0,oos,eq6_onfh_m_slh,ONFH,0.6659104963243823,0.63016852613985,1.0567181138091228,0.2908491119073823,0.3408134829352427,1226,2021-01-05,2025-12-31
GC.v.0,oos,eq6_onfh_m_slh,M,0.4902309528476836,0.75173294157358,0.6521344559166085,0.5144370785609382,0.3408134829352427,1226,2021-01-05,2025-12-31
GC.v.0,oos,eq6_onfh_m_slh,SLH,-6.140510624396125,3.9150688183450097,-1.5684298052752643,0.117039749444768,0.3408134829352427,1226,2021-01-05,2025-12-31
GC.v.0,oos,eq7_rod,ROD,0.5161189739847217,0.53415478437635,0.966234861281466,0.3341175401928836,0.0899524965144338,1226,2021-01-05,2025-12-31
CL.v.0,replication,eq5_onfh,ONFH,-1.9551546535229776,6.2212566487821,-0.3142700524830022,0.7533439212232569,0.1880824032906347,2345,2010-06-08,2020-05-01
CL.v.0,replication,eq6_onfh_m_slh,ONFH,1.3197329759026222,3.2919808006948297,0.400893278485727,0.688535284210628,15.653235480700422,2345,2010-06-08,2020-05-01
CL.v.0,replication,eq6_onfh_m_slh,M,-2.362050545148794,4.19942626147573,-0.5624698227987786,0.5738498136531327,15.653235480700422,2345,2010-06-08,2020-05-01
CL.v.0,replication,eq6_onfh_m_slh,SLH,-53.603631729954735,22.37590062958408,-2.3955966116100464,0.0166714398890507,15.653235480700422,2345,2010-06-08,2020-05-01
CL.v.0,replication,eq7_rod,ROD,-3.8850080171205272,6.5388390740722295,-0.5941433904567771,0.552473572206648,1.561929610556012,2345,2010-06-08,2020-05-01
CL.v.0,oos,eq5_onfh,ONFH,-0.7973229225241358,1.06418340330157,-0.7492345022958287,0.4538613851048009,0.0183255228688894,1213,2021-01-05,2025-12-31
CL.v.0,oos,eq6_onfh_m_slh,ONFH,-0.7849345360223069,1.0715894260459,-0.7324955966751779,0.4640081085244032,-0.0917899880920947,1213,2021-01-05,2025-12-31
CL.v.0,oos,eq6_onfh_m_slh,M,0.7160330206157558,1.0115049193609,0.7078888168612826,0.4791507468807888,-0.0917899880920947,1213,2021-01-05,2025-12-31
CL.v.0,oos,eq6_onfh_m_slh,SLH,0.6181468458066641,4.54815892866036,0.1359114436198331,0.8919139144329912,-0.0917899880920947,1213,2021-01-05,2025-12-31
