sample,spec,predictors,start,end,nobs,nw_lags,alpha,alpha_se_hac,alpha_t_hac,alpha_p_hac,alpha_ci_low,alpha_ci_high,r2,r2_x100,adj_r2,adj_r2_x100,beta_r_ONFH,beta_r_ONFH_x100,beta_r_ONFH_se_hac,beta_r_ONFH_t_hac,beta_r_ONFH_p_hac,beta_r_ONFH_ci_low,beta_r_ONFH_ci_high,beta_r_M,beta_r_M_x100,beta_r_M_se_hac,beta_r_M_t_hac,beta_r_M_p_hac,beta_r_M_ci_low,beta_r_M_ci_high,beta_r_SLH,beta_r_SLH_x100,beta_r_SLH_se_hac,beta_r_SLH_t_hac,beta_r_SLH_p_hac,beta_r_SLH_ci_low,beta_r_SLH_ci_high,beta_r_ROD,beta_r_ROD_x100,beta_r_ROD_se_hac,beta_r_ROD_t_hac,beta_r_ROD_p_hac,beta_r_ROD_ci_low,beta_r_ROD_ci_high
replication,eq5_onfh,r_ONFH,2010-06-08,2020-05-28,2421,8,-2.7521679816679685e-05,3.351107973004316e-05,-0.821271055375936,0.4115728211034887,-9.323506907381371e-05,3.819170944045434e-05,0.006613775102497832,0.6613775102497832,0.006203115232759293,0.6203115232759293,0.015912815322901987,1.5912815322901988,0.0066994897676352135,2.3752279464289554,0.017615645401402962,0.002775483357733699,0.029050147288070274,,,,,,,,,,,,,,,,,,,,,
replication,eq6_onfh_m_slh,r_ONFH+r_M+r_SLH,2010-06-08,2020-05-28,2421,8,-3.184028571296123e-05,3.361520218130665e-05,-0.9471989947056618,0.3436320744400998,-9.775788069104841e-05,3.407730926512595e-05,0.013143795053316198,1.3143795053316198,0.011918901129095993,1.1918901129095993,0.01570694954379353,1.570694954379353,0.006690139298368693,2.347776158804866,0.018966099368054243,0.0025879479016707313,0.028825951185916326,0.007330968914119061,0.7330968914119061,0.008427927258674174,0.8698424522558493,0.38447288231135834,-0.009195741011517034,0.023857678839755158,0.0772144714354435,7.721447143544349,0.037674946952866724,2.0494911786350416,0.040521827146814404,0.0033359363409550397,0.15109300652993196,,,,,,,
replication,eq7_rod,r_ROD,2010-06-08,2020-05-28,2421,8,-2.6983175599653554e-05,3.3428601588601294e-05,-0.8071882854009201,0.41963737183807637,-9.253482974537261e-05,3.8568478546065493e-05,0.008696714673353312,0.8696714673353312,0.00828691587826158,0.828691587826158,,,,,,,,,,,,,,,,,,,,,,0.014505238261235374,1.4505238261235374,0.005319085043194578,2.727017549718232,0.0064370928141009726,0.00407480424505291,0.024935672277417838
oos,eq5_onfh,r_ONFH,2021-01-05,2025-12-31,1230,6,-6.2232938810027015e-06,3.8175266898992964e-05,-0.16301900121533577,0.8705302962191221,-8.11192612368759e-05,6.86726734748705e-05,0.0006064098256820527,0.06064098256820527,-0.00020742860279865383,-0.020742860279865383,0.003936973912569564,0.3936973912569564,0.006586303161916139,0.5977517001243211,0.5501158358331958,-0.008984678944918858,0.016858626770057988,,,,,,,,,,,,,,,,,,,,,
oos,eq6_onfh_m_slh,r_ONFH+r_M+r_SLH,2021-01-05,2025-12-31,1230,6,-4.69358795277079e-06,3.8176782263443876e-05,-0.12294351892681979,0.9021719742815995,-7.959264884307651e-05,7.020547293753494e-05,0.0034086485504297714,0.34086485504297714,0.000970007396801198,0.0970007396801198,0.0037338788855648176,0.37338788855648175,0.006567320659917481,0.5685543738337476,0.569762720201213,-0.00915055298192463,0.016618310753054265,0.004181951715300194,0.4181951715300194,0.007921488232418481,0.5279250050748882,0.5976469221970785,-0.01135922263950857,0.019723126070108957,-0.05310971764313707,-5.310971764313707,0.046353974335235915,-1.145742482813729,0.25212530962634433,-0.14405161846349476,0.03783218317722062,,,,,,,
oos,eq7_rod,r_ROD,2021-01-05,2025-12-31,1230,6,-5.851800196978939e-06,3.848537876465464e-05,-0.15205255566701845,0.8791704608762627,-8.135617530095562e-05,6.965257490699776e-05,0.0006355962156360251,0.06355962156360251,-0.00017821844542598164,-0.017821844542598164,,,,,,,,,,,,,,,,,,,,,,0.0032306594666213174,0.32306594666213173,0.0056019641875077915,0.5767011995231225,0.5642470155453687,-0.007759821045969994,0.014221139979212628
